Team,,PPG,Opp PPG,Kenpom Rank,Seed,SOS,FGPG,FGAPG,2PPG,2PAPG,3PPG,3PAPG,FTPG,FTAPG,ORBPG,DRBPG,TRBPG,ASTPG,STLPG,BLKPG,TOVPG,PFPG,FG%,2P%,3P%,FT%
Virginia,2017-18,67.55,53.39,1,1,20,24.94117647,54.23529412,17.67647059,35.26470588,7.264705882,18.97058824,10,13.26470588,7.03030303,22.63636364,29.66666667,13.72727273,6.787878788,3.727272727,8.121212121,14.06060606,0.459869848,0.501251043,0.382945736,0.753880266
Villanova,2017-18,87.06,70.88,2,1,35,30.86111111,61.30555556,19.22222222,32.33333333,11.63888889,28.97222222,13.52777778,17.47222222,8.117647059,24.70588235,32.82352941,16.67647059,6.676470588,3.970588235,9.852941176,15.85294118,0.503398278,0.594501718,0.401725791,0.774244833
Duke,2017-18,84.47,69.94,3,2,13,30.65714286,61.77142857,22.17142857,39.6,8.485714286,22.17142857,15.08571429,21.28571429,11.61764706,26.47058824,38.08823529,17,7.294117647,5.205882353,11.94117647,15.14705882,0.496299722,0.55988456,0.382731959,0.708724832
Purdue,2017-18,81.15,65.65,5,2,44,27.97222222,56.63888889,18.36111111,33.80555556,9.611111111,22.83333333,15.25,20.58333333,7.176470588,24.94117647,32.11764706,16.70588235,5.823529412,5.029411765,10.5,15.52941176,0.493869544,0.543138866,0.420924574,0.740890688
Xavier,2017-18,84.27,74.48,14,1,23,28.88571429,58.71428571,21.05714286,37.68571429,7.828571429,21.02857143,18.77142857,24.08571429,8.393939394,27.24242424,35.63636364,16.63636364,5.848484848,2.939393939,12.3030303,16.90909091,0.491970803,0.558756634,0.372282609,0.779359431
Michigan,2017-18,74.5,63.81,10,3,37,26.62162162,57,17.62162162,32.2972973,9,24.7027027,11.56756757,17.54054054,7.416666667,23.05555556,30.47222222,14.38888889,6.083333333,3.083333333,8.472222222,15.13888889,0.467045993,0.545606695,0.364332604,0.659476117
Kansas,2017-18,81.43,71.31,9,1,15,29.97222222,60.41666667,19.94444444,35.55555556,10.02777778,24.86111111,11.41666667,16.16666667,8.2,23.54285714,31.74285714,16.51428571,6.428571429,4.057142857,11.11428571,14.82857143,0.496091954,0.5609375,0.403351955,0.706185567
Michigan State,2017-18,80.97,64.79,6,3,111,28.31428571,57.02857143,20.02857143,36.31428571,8.285714286,20.71428571,15.28571429,20.45714286,9.96969697,28.63636364,38.60606061,19.33333333,4.090909091,7.363636364,12.75757576,18.06060606,0.496492986,0.551534225,0.4,0.747206704
Ohio State,2017-18,75.81,66.69,15,5,9,27.97058824,58.23529412,20.94117647,38.29411765,7.029411765,19.94117647,13.23529412,18.11764706,8.59375,25.46875,34.0625,14.75,6.03125,3.96875,11.53125,17.375,0.48030303,0.546850998,0.352507375,0.730519481
Nevada,2017-18,83.09,72.88,24,7,65,28.47222222,60.55555556,18.83333333,36.19444444,9.638888889,24.36111111,16.38888889,22.16666667,8.411764706,24.85294118,33.26470588,16.44117647,6.264705882,4.088235294,9.794117647,17.23529412,0.470183486,0.520337682,0.395667047,0.739348371
Texas Tech,2017-18,75.47,64.88,12,3,47,26.17142857,56.45714286,19.25714286,37.45714286,6.914285714,19,15.65714286,22.48571429,9.235294118,22.5,31.73529412,13.14705882,7.205882353,3.941176471,11.5,17.61764706,0.463562753,0.514111365,0.363909774,0.696315121
Wichita State,2017-18,83,71.34,20,4,84,29,60.87878788,19.90909091,37.03030303,9.090909091,23.84848485,15.66666667,21.21212121,10.1875,26.59375,36.78125,18.53125,4.6875,3.9375,11.34375,17.5625,0.476356396,0.537643208,0.381194409,0.738571429
North Carolina,2017-18,81.97,73.11,7,2,1,29.86486486,65.32432432,21.62162162,42.37837838,8.243243243,22.94594595,13.59459459,18.2972973,12.05714286,26.85714286,38.91428571,18.2,5.628571429,4.2,11.94285714,15.71428571,0.45717832,0.510204082,0.359246172,0.742983752
Tennessee,2017-18,74.28,66.06,11,3,27,25.28571429,57.48571429,17.48571429,36.97142857,7.8,20.51428571,15.45714286,20.42857143,9.875,23.03125,32.90625,15.875,6.375,4.53125,11.65625,19.53125,0.439860835,0.472952087,0.380222841,0.756643357
West Virginia,2017-18,79.62,69,13,5,66,28.02777778,64,19.27777778,39.47222222,8.75,24.52777778,15.36111111,20.02777778,12.17647059,22.14705882,34.32352941,15.05882353,8.029411765,5.264705882,10.94117647,21.32352941,0.437934028,0.488388459,0.356738392,0.766990291
Auburn,2017-18,83.38,73.31,16,4,89,26.64705882,61.82352941,17.11764706,35.11764706,9.529411765,26.70588235,19.02941176,24.58823529,10.8125,24.40625,35.21875,14.4375,7.4375,5.40625,12.125,19.84375,0.431018078,0.487437186,0.356828194,0.773923445
Arizona,2017-18,80.88,71.18,21,4,105,28.82857143,57.25714286,22.05714286,38.91428571,6.771428571,18.34285714,16.08571429,21.14285714,8.970588235,25.67647059,34.64705882,15.23529412,4.941176471,4.558823529,12,17.41176471,0.503493014,0.56681351,0.369158879,0.760810811
Houston,2017-18,77.85,65.18,17,6,157,27.2,59.02857143,18.71428571,37.08571429,8.485714286,21.94285714,13.82857143,19.25714286,10.03030303,24.51515152,34.54545455,14.54545455,6.181818182,3.060606061,11.45454545,20.42424242,0.460793804,0.504622496,0.38671875,0.71810089
South Dakota State,2017-18,84.85,74.06,75,12,154,28.65714286,61.34285714,17.97142857,34.85714286,10.68571429,26.48571429,16.51428571,21.68571429,7.617647059,28.55882353,36.17647059,13.5,4.970588235,2.294117647,9.764705882,16.08823529,0.467163484,0.51557377,0.403451996,0.761528327
Clemson,2017-18,73.33,65.85,19,5,34,25.61764706,56.05882353,17.32352941,33.52941176,8.294117647,22.52941176,14.23529412,18.85294118,7.484848485,24.57575758,32.06060606,12.78787879,5.515151515,4.696969697,11.48484848,15.51515152,0.456977964,0.516666667,0.368146214,0.755070203
Gonzaga,2017-18,84.5,67.12,8,4,205,30.69444444,61.16666667,21.72222222,36.97222222,8.972222222,24.19444444,13.83333333,19.47222222,9.5,26.70588235,36.20588235,15.73529412,6.441176471,3.705882353,11.11764706,17.02941176,0.50181653,0.587528174,0.370838117,0.710413695
Rhode Island,2017-18,76.81,68.23,49,7,119,28.05882353,61.67647059,21.11764706,41.97058824,6.941176471,19.70588235,12.91176471,18.52941176,9.870967742,21.67741935,31.5483871,15.38709677,7.64516129,3.451612903,10.38709677,19.12903226,0.454935622,0.503153469,0.352238806,0.696825397
Cincinnati,2017-18,74.74,57.21,4,2,239,26.22222222,58.33333333,18.94444444,37.72222222,7.277777778,20.61111111,14.52777778,21,11.29411765,23.17647059,34.47058824,15.73529412,7.176470588,5.382352941,10.67647059,15.35294118,0.44952381,0.502209131,0.35309973,0.691798942
Buffalo,2017-18,84.79,75.85,77,13,113,30.69444444,64.83333333,20.94444444,38.5,9.75,26.33333333,13.5,19.30555556,10.26470588,25.17647059,35.44117647,16.94117647,6.382352941,4.205882353,12.5,21.14705882,0.473436161,0.544011544,0.370253165,0.699280576
Creighton,2017-18,84.28,74.22,27,8,85,30.54545455,62.12121212,20.15151515,34.15151515,10.39393939,27.96969697,12.03030303,16.09090909,6.28125,27.46875,33.75,18,5.65625,2.65625,11.09375,15,0.491707317,0.590062112,0.371614301,0.747645951
Kentucky,2017-18,76.24,70.21,18,5,4,27.27777778,57.58333333,21.94444444,42.75,5.333333333,14.83333333,17.38888889,24.80555556,10.44117647,24.91176471,35.35294118,13.11764706,5.441176471,4.705882353,12.5,18.32352941,0.4737096,0.513320338,0.359550562,0.701007839
San Diego State,2017-18,77.5,67.91,50,11,118,27.33333333,59.60606061,20.09090909,38.12121212,7.242424242,21.48484848,15.21212121,21.27272727,9.5625,25.3125,34.875,14.90625,6.3125,3.1875,11.75,17.03125,0.458566345,0.527027027,0.337094499,0.715099715
New Mexico State,2017-18,75.88,63.76,55,12,238,28.32352941,61.88235294,20.73529412,39.14705882,7.588235294,22.73529412,11.41176471,17.73529412,11.75757576,27.57575758,39.33333333,14.15151515,5.636363636,3.060606061,12.42424242,17.90909091,0.45769962,0.529676935,0.333764554,0.64344942
Loyola (IL),2017-18,73.15,62.62,350,11,227,26.2,51.8,18.71428571,32.97142857,7.485714286,18.82857143,12.02857143,16.74285714,5.176470588,23.76470588,28.94117647,15.26470588,6.441176471,2.411764706,11.5,13.41176471,0.505791506,0.567590988,0.397572079,0.718430034
Miami (FL),2017-18,74.47,68.25,350,6,59,27.34375,58.78125,19.625,37.59375,7.71875,21.1875,11.3125,17.09375,8.0625,22.90625,30.96875,12.90625,6.34375,3.84375,10.65625,15.78125,0.465178097,0.522028263,0.364306785,0.66179159
Texas Christian,2017-18,82.64,76.15,350,6,5,29.66666667,59.78787879,21.36363636,38.75757576,8.303030303,21.03030303,14.42424242,20.42424242,9.303030303,23.09090909,32.39393939,18.21212121,6.393939394,3.484848485,12.03030303,16.27272727,0.496198682,0.551211884,0.39481268,0.706231454
North Carolina State,2017-18,81.06,73.97,42,9,64,29.24242424,62.24242424,21.27272727,40.81818182,7.96969697,21.42424242,14.81818182,21.27272727,9.878787879,21.15151515,31.03030303,15.66666667,7.272727273,3.696969697,11.51515152,17.54545455,0.469814995,0.521158129,0.371994342,0.696581197
Butler,2017-18,79.15,72.32,25,10,12,29.14285714,61.57142857,20.94285714,38.57142857,8.2,23,12.45714286,16.05714286,7.205882353,22.55882353,29.76470588,13.58823529,6.529411765,2.852941176,10.61764706,17.70588235,0.473317865,0.542962963,0.356521739,0.775800712
North Carolina-Greensboro,2017-18,73.47,62.38,350,13,243,26.4,59.22857143,16.94285714,32.48571429,9.457142857,26.74285714,10.94285714,15.68571429,10.64705882,23.58823529,34.23529412,14.11764706,7.735294118,3.852941176,13.47058824,18.47058824,0.445730825,0.521547933,0.353632479,0.697632058
Seton Hall,2017-18,79,73.31,26,8,22,28.55882353,60.94117647,21.20588235,40.79411765,7.352941176,20.14705882,14.97058824,21.44117647,10.625,24.84375,35.46875,15.8125,6.28125,3.5,12.40625,17.71875,0.468629344,0.519826965,0.364963504,0.698216735
Murray State,2017-18,78.94,65.55,59,12,294,27.1875,56.34375,18.71875,33.875,8.46875,22.46875,15.75,21.46875,9.129032258,25.06451613,34.19354839,14.80645161,6.806451613,3.161290323,11.61290323,17.32258065,0.482529118,0.552583026,0.376912378,0.733624454
St. Bonaventure,2017-18,77.91,71,350,11,158,26,57.58823529,18.5,38.14705882,7.5,19.44117647,17.55882353,23.35294118,9.03125,23.65625,32.6875,14.21875,6.90625,3.59375,11.25,20.03125,0.451481103,0.484965305,0.385779123,0.751889169
Stephen F. Austin,2017-18,81.15,68.12,111,14,295,28.57142857,58.82857143,21.65714286,40.22857143,6.914285714,18.6,16.48571429,23.4,10.11764706,22.44117647,32.55882353,14.41176471,10.20588235,3.029411765,15.05882353,21.76470588,0.485672657,0.538352273,0.371735791,0.704517705
Texas A&M,2017-18,75.24,69.52,30,7,21,27.76470588,60.41176471,21.08823529,40.26470588,6.676470588,20.14705882,13.05882353,19.67647059,10.6969697,26.39393939,37.09090909,15,5.454545455,5.696969697,12.93939394,16.24242424,0.459591042,0.523739956,0.331386861,0.66367713
Virginia Tech,2017-18,79.58,72.12,32,8,82,28.21212121,56.51515152,19.45454545,33.93939394,8.757575758,22.57575758,14.63636364,20.63636364,6.272727273,23.3030303,29.57575758,16,5.575757576,2.212121212,11.39393939,15.21212121,0.49919571,0.573214286,0.387919463,0.709251101
Florida State,2017-18,81.77,74.48,35,9,95,28.81818182,61.09090909,20.84848485,38.54545455,7.96969697,22.54545455,15.45454545,22.54545455,10.5483871,24.5483871,35.09677419,15.25806452,6.709677419,5.161290323,12.87096774,18.25806452,0.47172619,0.540880503,0.353494624,0.685483871
Arkansas,2017-18,81.23,76.06,37,7,51,28.71428571,60.54285714,21.02857143,41.08571429,7.685714286,19.45714286,15.42857143,22.65714286,8.457142857,22.51428571,30.97142857,14.05714286,6.057142857,4.485714286,10.31428571,19.6,0.474280321,0.511821975,0.395007342,0.680958386
Florida,2017-18,75.27,69.39,23,6,24,26.26470588,60.73529412,17.20588235,36.26470588,9.058823529,24.47058824,14.20588235,19.79411765,8.96969697,22.18181818,31.15151515,12.57575758,6.636363636,4.575757576,8.96969697,16.72727273,0.432445521,0.474452555,0.370192308,0.717682021
UCLA,2017-18,81.91,76.31,48,11,68,28.09090909,61.03030303,18.6969697,36.39393939,9.393939394,24.63636364,15.60606061,21.66666667,9.34375,27.25,36.59375,15.0625,5.71875,3.90625,11.71875,17.9375,0.460278054,0.513738551,0.381303813,0.72027972
Arizona State,2017-18,83.52,75.32,45,11,156,27.75,59.96875,18.75,35.21875,9,24.75,18.15625,24.78125,8.322580645,23.80645161,32.12903226,14.16129032,6.580645161,3.580645161,10.58064516,18.87096774,0.462741011,0.532386868,0.363636364,0.732660782
Missouri,2017-18,73.15,67.85,38,8,50,24.06060606,53.48484848,14.78787879,29.27272727,9.272727273,24.21212121,15.3030303,20.84848485,8.484848485,24.3030303,32.78787879,13.18181818,5,4.121212121,13.33333333,17.36363636,0.449858357,0.505175983,0.382978723,0.734011628
Davidson,2017-18,77.03,67.9,43,12,195,27.24242424,56.78787879,16.54545455,29.3030303,10.6969697,27.48484848,11.15151515,13.96969697,6.032258065,24.48387097,30.51612903,17.09677419,4.806451613,1.903225806,9.064516129,15.06451613,0.479722519,0.564632885,0.389195149,0.798264642
Marshall,2017-18,84.26,78.82,114,13,138,28.94444444,61.97222222,18.88888889,33.83333333,10.05555556,28.13888889,15.86111111,20.75,6.705882353,26.41176471,33.11764706,17.20588235,6.852941176,5.823529412,12.94117647,17.23529412,0.467055132,0.558292282,0.357354393,0.764390897
Montana,2017-18,78.12,68.73,71,14,306,27.76470588,59.44117647,22.29411765,43.29411765,5.470588235,16.14705882,16.20588235,22.94117647,10.15151515,23.6969697,33.84848485,12.75757576,7.757575758,3.393939394,12.18181818,21.06060606,0.467095497,0.514945652,0.338797814,0.706410256
Kansas State,2017-18,72.36,67.88,44,9,92,25.57142857,54.37142857,18.74285714,34.48571429,6.828571429,19.88571429,13.65714286,18.6,6.96969697,21.15151515,28.12121212,14.33333333,7.757575758,3,11.09090909,18.39393939,0.470310037,0.543496272,0.343390805,0.734254992
Georgia State,2017-18,75.36,67.48,96,15,252,26.77142857,58.08571429,17.54285714,34.11428571,9.228571429,23.97142857,11.91428571,17.57142857,7.484848485,23.45454545,30.93939394,13.42424242,7.212121212,4.545454545,11.03030303,18.27272727,0.460895229,0.514237856,0.384982122,0.67804878
Bucknell,2017-18,81.15,72.85,100,14,302,27.57142857,58.57142857,19.57142857,35.6,8,22.97142857,17.91428571,24.94285714,8.088235294,26.32352941,34.41176471,14.47058824,5.617647059,4.441176471,12.41176471,18.58823529,0.470731707,0.54975923,0.348258706,0.718213058
Wright State,2017-18,72.15,65.71,135,14,260,24.94285714,57.68571429,18.17142857,37.6,6.771428571,20.08571429,14.77142857,20.65714286,8.764705882,25.05882353,33.82352941,13.26470588,6.647058824,2.205882353,12.76470588,15.91176471,0.432392273,0.483282675,0.3371266,0.715076072
Pennsylvania,2017-18,76.71,68.81,350,16,314,27.06060606,59.06060606,18.24242424,33.87878788,8.818181818,25.18181818,13,19.72727273,7.483870968,27,34.48387097,15.5483871,6.032258065,2.774193548,11.67741935,17.38709677,0.458183684,0.538461538,0.350180505,0.658986175
Texas,2017-18,71.73,68.21,39,10,10,25.94117647,59.11764706,18.73529412,36.58823529,7.205882353,22.52941176,12.97058824,19.5,9.363636364,23.93939394,33.3030303,11.54545455,6.212121212,4.939393939,11.39393939,16.09090909,0.43880597,0.512057878,0.319843342,0.665158371
Oklahoma,2017-18,85.16,81.65,47,10,26,29.8125,64.4375,20.4375,38.34375,9.375,26.09375,15.9375,21.375,9,26.25806452,35.25806452,15.06451613,6.580645161,4.709677419,13.19354839,17.19354839,0.462657614,0.533007335,0.359281437,0.745614035
Syracuse,2017-18,67.55,64.55,54,11,32,22.41666667,54,16.75,36.13888889,5.666666667,17.86111111,16.19444444,21.97222222,10.18181818,23.51515152,33.6969697,10.96969697,7.242424242,5.545454545,12.03030303,16.3030303,0.415123457,0.463489623,0.31726283,0.737041719
College of Charleston,2017-18,75.09,68.76,120,13,293,25.73529412,56.02941176,18.11764706,34.82352941,7.617647059,21.20588235,15.5,20.55882353,7.393939394,23.21212121,30.60606061,11.42424242,5.181818182,3.606060606,9.212121212,16.36363636,0.459317585,0.52027027,0.359223301,0.753934192
Lipscomb,2017-18,82.56,77.5,165,15,217,28,61.81818182,19.90909091,37.18181818,8.090909091,24.63636364,17.96969697,25.03030303,9.3125,27.03125,36.34375,15.71875,6.46875,3.125,14.5,19.9375,0.452941176,0.535452323,0.328413284,0.717917676
Alabama,2017-18,72.23,69.4,51,9,16,25.27777778,54.86111111,18.91666667,35.36111111,6.361111111,19.5,15.41666667,23,8.6,24.17142857,32.77142857,12.17142857,6.228571429,5.314285714,13.42857143,18.42857143,0.460759494,0.534956795,0.326210826,0.670289855
Providence,2017-18,73.8,72.74,63,10,7,25.68571429,58.2,19.31428571,39.02857143,6.371428571,19.17142857,15.82857143,22.48571429,8.514285714,22.71428571,31.22857143,13.37142857,6.657142857,3.657142857,11.82857143,17.17142857,0.441335297,0.494875549,0.332339791,0.703939009
Maryland-Baltimore County,2017-18,73.91,69.47,350,16,249,25.72222222,58,15.61111111,31.88888889,10.11111111,26.11111111,11.5,17.80555556,8,23.14705882,31.14705882,15.44117647,7.529411765,2.5,11.76470588,16.52941176,0.44348659,0.489547038,0.387234043,0.645865835
Radford,2017-18,67.06,64.66,170,16,160,23.61111111,55.55555556,15.91666667,33.52777778,7.694444444,22.02777778,12.36111111,17.05555556,9.685714286,20.91428571,30.6,11.85714286,6.114285714,2.857142857,11.08571429,15.88571429,0.425,0.474730737,0.349306431,0.7247557
Cal State Fullerton,2017-18,73.23,70.03,153,15,266,25.125,53.78125,19.90625,38.15625,5.21875,15.625,16.96875,23.28125,7.225806452,24.87096774,32.09677419,12.77419355,6.387096774,3.258064516,13.83870968,17.83870968,0.46717025,0.521703522,0.334,0.72885906
Iona,2017-18,79.85,76.15,134,15,248,28.14705882,61.05882353,18.61764706,36.17647059,9.529411765,24.88235294,13.58823529,18.41176471,7.212121212,23.72727273,30.93939394,15.93939394,6.787878788,3.060606061,11.36363636,17.3030303,0.460982659,0.514634146,0.382978723,0.738019169
North Carolina Central,2017-18,72.76,69.44,309,16,350,27.11428571,58.85714286,21.05714286,40.57142857,6.057142857,18.28571429,11.71428571,17.05714286,9.970588235,24.38235294,34.35294118,15.73529412,5.117647059,3.382352941,13.79411765,18.58823529,0.460679612,0.519014085,0.33125,0.686767169
Long Island University,2017-18,77.69,76.4,350,16,330,26.71428571,58.71428571,18.74285714,35.42857143,7.971428571,23.28571429,15.62857143,22.45714286,9.085714286,25.34285714,34.42857143,12.25714286,5.457142857,3.171428571,13.37142857,19.08571429,0.454987835,0.529032258,0.342331288,0.695928753
Texas Southern,2017-18,77.65,79.74,249,16,334,25.69444444,58.63888889,17.91666667,36.94444444,7.777777778,21.69444444,18.25,25.16666667,8.411764706,24.38235294,32.79411765,12.26470588,5.588235294,3.911764706,12.47058824,17.61764706,0.438180957,0.484962406,0.358514725,0.725165563